Obs Polio Inter Ano Cos12 Sen12 Cos6 Sen6
"30" 4 1 30 -1 2.38866001631144e-15 1 -4.77732003262288e-15
"31" 0 1 31 -0.866025403784439 -0.499999999999999 0.500000000000002 0.866025403784437
"32" 0 1 32 -0.500000000000002 -0.866025403784438 -0.499999999999997 0.86602540378444
"33" 1 1 33 1.10282334479794e-15 -1 -1 -2.20564668959589e-15
"34" 6 1 34 0.5 -0.866025403784438 -0.499999999999999 -0.866025403784439
"35" 14 1 35 0.866025403784439 -0.5 0.5 -0.866025403784439
"36" 1 1 36 1 -7.34763812293426e-16 1 -1.46952762458685e-15
"37" 1 1 37 0.866025403784439 0.499999999999999 0.500000000000002 0.866025403784437
"38" 0 1 38 0.500000000000002 0.866025403784438 -0.499999999999997 0.866025403784441
"39" 0 1 39 2.5723509693848e-15 1 -1 5.14470193876959e-15
"40" 1 1 40 -0.5 0.866025403784438 -0.499999999999999 -0.866025403784439
"41" 1 1 41 -0.866025403784437 0.500000000000003 0.499999999999993 -0.866025403784442
"42" 1 1 42 -1 8.57224447675664e-16 1 -1.71444889535133e-15
"43" 1 1 43 -0.866025403784439 -0.499999999999999 0.500000000000003 0.866025403784437
"44" 0 1 44 -0.500000000000002 -0.866025403784438 -0.499999999999996 0.866025403784441
"45" 1 1 45 8.57902074033468e-16 -1 -1 -1.71580414806694e-15
"46" 0 1 46 0.499999999999997 -0.86602540378444 -0.500000000000006 -0.866025403784435
"47" 1 1 47 0.866025403784438 -0.5 0.499999999999999 -0.866025403784439
"48" 0 1 48 1 -9.79685083057902e-16 1 -1.9593701661158e-15
"49" 1 1 49 0.866025403784439 0.499999999999999 0.500000000000003 0.866025403784437
"50" 0 1 50 0.499999999999999 0.866025403784439 -0.500000000000002 0.866025403784437
"51" 1 1 51 2.81727224014927e-15 1 -1 5.63454448029854e-15
"52" 0 1 52 -0.5 0.866025403784439 -0.5 -0.866025403784439
"53" 1 1 53 -0.866025403784438 0.5 0.499999999999999 -0.866025403784439
"54" 0 1 54 -1 1.10214571844014e-15 1 -2.20429143688028e-15
"55" 1 1 55 -0.866025403784438 -0.500000000000002 0.499999999999997 0.86602540378444
"56" 0 1 56 -0.500000000000002 -0.866025403784437 -0.499999999999996 0.866025403784441
"57" 1 1 57 -2.93973287553151e-15 -1 -1 5.87946575106302e-15
"58" 0 1 58 0.5 -0.866025403784439 -0.5 -0.866025403784439
"59" 0 1 59 0.866025403784438 -0.500000000000001 0.499999999999999 -0.866025403784439
"60" 2 1 60 1 -4.77732003262288e-15 1 -9.55464006524576e-15
"61" 0 1 61 0.86602540378444 0.499999999999998 0.500000000000003 0.866025403784437
"62" 1 1 62 0.500000000000002 0.866025403784437 -0.499999999999996 0.866025403784441
"63" 0 1 63 -4.90520167886754e-16 1 -1 -9.81040335773509e-16
"64" 1 1 64 -0.499999999999997 0.86602540378444 -0.500000000000006 -0.866025403784435
"65" 0 1 65 -0.866025403784438 0.500000000000001 0.499999999999999 -0.866025403784439
"66" 0 1 66 -1 -2.20564668959589e-15 1 4.41129337919177e-15
"67" 1 1 67 -0.86602540378444 -0.499999999999998 0.500000000000003 0.866025403784437
"68" 2 1 68 -0.499999999999999 -0.866025403784439 -0.500000000000002 0.866025403784438
"69" 0 1 69 -3.18465414629598e-15 -1 -1 6.36930829259197e-15
"70" 0 1 70 0.5 -0.866025403784439 -0.5 -0.866025403784438
"71" 1 1 71 0.86602540378444 -0.499999999999998 0.500000000000005 -0.866025403784436
"72" 2 1 72 1 -1.46952762458685e-15 1 -2.93905524917371e-15
"73" 0 1 73 0.866025403784441 0.499999999999995 0.50000000000001 0.866025403784433
"74" 3 1 74 0.500000000000002 0.866025403784437 -0.499999999999995 0.866025403784441
"75" 1 1 75 -2.45598897122279e-16 1 -1 -4.91197794244558e-16
"76" 1 1 76 -0.499999999999997 0.866025403784441 -0.500000000000007 -0.866025403784435
"77" 0 1 77 -0.866025403784438 0.500000000000001 0.499999999999998 -0.86602540378444
"78" 2 1 78 -1 5.14470193876959e-15 1 -1.02894038775392e-14
"79" 0 1 79 -0.86602540378444 -0.499999999999998 0.500000000000004 0.866025403784436
"80" 4 1 80 -0.499999999999999 -0.866025403784439 -0.500000000000001 0.866025403784438
"81" 0 1 81 -3.42957541706046e-15 -1 -1 6.85915083412092e-15
"82" 2 1 82 0.499999999999993 -0.866025403784442 -0.500000000000013 -0.866025403784431
"83" 1 1 83 0.86602540378444 -0.499999999999998 0.500000000000004 -0.866025403784436
"84" 1 1 84 1 -1.71444889535133e-15 1 -3.42889779070266e-15
"85" 1 1 85 0.866025403784438 0.500000000000001 0.499999999999998 0.86602540378444
"86" 1 1 86 0.500000000000003 0.866025403784437 -0.499999999999995 0.866025403784442
"87" 0 1 87 7.1047497312432e-15 1 -1 1.42094994624864e-14
"88" 1 1 88 -0.499999999999996 0.866025403784441 -0.500000000000007 -0.866025403784434
"89" 1 1 89 -0.866025403784438 0.500000000000001 0.499999999999998 -0.86602540378444
"90" 0 1 90 -1 -1.71580414806694e-15 1 3.43160829613387e-15
"91" 2 1 91 -0.86602540378444 -0.499999999999998 0.500000000000004 0.866025403784436
"92" 1 1 92 -0.500000000000006 -0.866025403784435 -0.499999999999989 0.866025403784445
"93" 3 1 93 -3.67449668782494e-15 -1 -1 7.34899337564987e-15
"94" 1 1 94 0.499999999999999 -0.866025403784439 -0.500000000000001 -0.866025403784438
"95" 2 1 95 0.86602540378444 -0.499999999999998 0.500000000000004 -0.866025403784436
"96" 4 1 96 1 -1.9593701661158e-15 1 -3.91874033223161e-15
"97" 0 1 97 0.866025403784442 0.499999999999995 0.500000000000011 0.866025403784432
"98" 0 1 98 0.500000000000003 0.866025403784437 -0.499999999999995 0.866025403784442
"99" 0 1 99 2.44243644406672e-16 1 -1 4.88487288813344e-16
"100" 1 1 100 -0.500000000000002 0.866025403784437 -0.499999999999995 -0.866025403784441
"101" 0 1 101 -0.866025403784438 0.500000000000001 0.499999999999997 -0.86602540378444
"102" 1 1 102 -1 5.63454448029854e-15 1 -1.12690889605971e-14
"103" 0 1 103 -0.86602540378444 -0.499999999999998 0.500000000000005 0.866025403784436
"104" 2 1 104 -0.5 -0.866025403784439 -0.5 0.866025403784438
"105" 2 1 105 3.18600939901159e-15 -1 -1 -6.37201879802318e-15
"106" 4 1 106 0.499999999999999 -0.866025403784439 -0.500000000000002 -0.866025403784438
"107" 2 1 107 0.866025403784436 -0.500000000000004 0.499999999999991 -0.866025403784444
"108" 3 1 108 1 -2.20429143688028e-15 1 -4.40858287376056e-15
"109" 3 1 109 0.866025403784442 0.499999999999995 0.500000000000011 0.866025403784432
"110" 0 1 110 0.499999999999997 0.86602540378444 -0.500000000000006 0.866025403784435
"111" 0 1 111 4.89164915171147e-16 1 -1 9.78329830342295e-16
"112" 2 1 112 -0.499999999999996 0.866025403784441 -0.500000000000008 -0.866025403784434
"113" 7 1 113 -0.866025403784438 0.500000000000001 0.499999999999997 -0.86602540378444
"114" 8 1 114 -1 5.87946575106302e-15 1 -1.1758931502126e-14
"115" 2 1 115 -0.866025403784437 -0.500000000000004 0.499999999999993 0.866025403784443
"116" 4 1 116 -0.5 -0.866025403784439 -0.5 0.866025403784439
"117" 1 1 117 -4.16433922935389e-15 -1 -1 8.32867845870777e-15
"118" 1 1 118 0.499999999999999 -0.866025403784439 -0.500000000000002 -0.866025403784437
"119" 2 1 119 0.866025403784436 -0.500000000000005 0.499999999999991 -0.866025403784444
"120" 4 1 120 1 -9.55464006524576e-15 1 -1.91092801304915e-14
"121" 0 1 121 0.866025403784438 0.5 0.499999999999999 0.866025403784439
"122" 1 1 122 0.500000000000003 0.866025403784437 -0.499999999999994 0.866025403784442
"123" 1 1 123 7.83951354353662e-15 1 -1 1.56790270870732e-14
"124" 1 1 124 -0.499999999999996 0.866025403784441 -0.500000000000008 -0.866025403784434
"125" 3 1 125 -0.866025403784438 0.500000000000002 0.499999999999997 -0.866025403784441
"126" 0 1 126 -1 -9.81040335773509e-16 1 1.96208067154702e-15
"127" 0 1 127 -0.866025403784437 -0.500000000000003 0.499999999999993 0.866025403784443
"128" 0 1 128 -0.500000000000006 -0.866025403784435 -0.499999999999987 0.866025403784446
"129" 0 1 129 -4.40926050011836e-15 -1 -1 8.81852100023672e-15
"130" 1 1 130 0.499999999999999 -0.866025403784439 -0.500000000000003 -0.866025403784437
"131" 0 1 131 0.866025403784439 -0.499999999999999 0.500000000000003 -0.866025403784437
"132" 1 1 132 1 4.41129337919177e-15 1 8.82258675838354e-15
"133" 1 1 133 0.866025403784442 0.499999999999994 0.500000000000012 0.866025403784432
"134" 0 1 134 0.500000000000003 0.866025403784437 -0.499999999999993 0.866025403784443
"135" 0 1 135 9.79007456700098e-16 1 -1 1.9580149134002e-15
"136" 0 1 136 -0.500000000000002 0.866025403784438 -0.499999999999997 -0.866025403784441
"137" 0 1 137 -0.866025403784441 0.499999999999996 0.500000000000008 -0.866025403784434
"138" 0 1 138 -1 6.36930829259197e-15 1 -1.27386165851839e-14
"139" 1 1 139 -0.86602540378444 -0.499999999999997 0.500000000000006 0.866025403784435
"140" 2 1 140 -0.5 -0.866025403784438 -0.499999999999999 0.866025403784439
"141" 0 1 141 -1.17596091284838e-14 -1 -1 2.35192182569677e-14
"142" 2 1 142 0.500000000000005 -0.866025403784436 -0.499999999999991 -0.866025403784444
"143" 0 1 143 0.866025403784436 -0.500000000000005 0.49999999999999 -0.866025403784444
"144" 0 1 144 1 -2.93905524917371e-15 1 -5.87811049834741e-15
"145" 0 1 145 0.866025403784439 0.5 0.5 0.866025403784439
"146" 1 1 146 0.50000000000001 0.866025403784433 -0.49999999999998 0.86602540378445
"147" 0 1 147 -5.88149863013643e-15 1 -1 -1.17629972602729e-14
"148" 1 1 148 -0.499999999999995 0.866025403784441 -0.500000000000009 -0.866025403784433
"149" 0 1 149 -0.866025403784437 0.500000000000002 0.499999999999996 -0.866025403784441
"150" 1 1 150 -1 -4.91197794244558e-16 1 9.82395588489116e-16
"151" 0 1 151 -0.866025403784444 -0.499999999999991 0.500000000000019 0.866025403784428
"152" 2 1 152 -0.500000000000007 -0.866025403784435 -0.499999999999986 0.866025403784446
"153" 0 1 153 -4.89910304164731e-15 -1 -1 9.79820608329462e-15
"154" 0 1 154 0.499999999999998 -0.86602540378444 -0.500000000000003 -0.866025403784437
"155" 1 1 155 0.866025403784439 -0.499999999999999 0.500000000000002 -0.866025403784438
"156" 2 1 156 1 -1.02894038775392e-14 1 -2.05788077550784e-14
"157" 0 1 157 0.866025403784442 0.499999999999994 0.500000000000013 0.866025403784431
"158" 1 1 158 0.500000000000004 0.866025403784436 -0.499999999999992 0.866025403784443
"159" 0 1 159 1.46884999822905e-15 1 -1 2.9376999964581e-15
"160" 0 1 160 -0.500000000000001 0.866025403784438 -0.499999999999997 -0.86602540378444
"161" 0 1 161 -0.866025403784434 0.500000000000008 0.499999999999983 -0.866025403784448
"162" 1 1 162 -1 6.85915083412092e-15 1 -1.37183016682418e-14
"163" 2 1 163 -0.866025403784441 -0.499999999999997 0.500000000000007 0.866025403784435
"164" 1 1 164 -0.500000000000013 -0.866025403784431 -0.499999999999974 0.866025403784454
"165" 0 1 165 -1.22494516700128e-14 -1 -1 2.44989033400256e-14
"166" 1 1 166 0.500000000000004 -0.866025403784436 -0.499999999999992 -0.866025403784444
"167" 3 1 167 0.866025403784443 -0.499999999999993 0.500000000000014 -0.866025403784431
"168" 6 1 168 1 -3.42889779070266e-15 1 -6.85779558140531e-15
